,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside
Unnamed 253,/html/body/document/type/sequence/filename/description/text/div[66]/div[1]/div/div,61,1833,/html/body/document/type/sequence/filename/description/text/div[66]/div[1]/div/div,61,n,293.0,"[0.8017698885721689, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,259.0,0.8017698885721689,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
Unnamed 254,/html/body/document/type/sequence/filename/description/text/p[954],Section 6.14,1834,/html/body/document/type/sequence/filename/description/text/p[954],Section 6.14,ssn,294.0,"[0.8033713397253174, 0.07888472222222222, 0.04645722222222222, 0.00038870173620108835]",1.0,260.0,0.8033713397253174,0.07888472222222222,0.04645722222222222,0.00038870173620108835,0
Unnamed 255,/html/body/document/type/sequence/filename/description/text/p[954]/u[1],Transaction Litigation,1835,/html/body/document/type/sequence/filename/description/text/p[954]/u[1],Transaction Litigation,sst,295.0,"[0.8033713397253174, 0.1351291666666667, 0.08468402777777777, 0.00038870173620108835]",1.0,261.0,0.8033713397253174,0.1351291666666667,0.08468402777777777,0.00038870173620108835,0
1836,/html/body/document/type/sequence/filename/description/text/p[954],". In the event that any litigation or other Proceeding by any stockholder related to this Agreement or the Transactions is initiated or, to the Knowledge of the Company, threatened against any of the Company or any Company Subsidiary or the members of the Company Board (or of any equivalent governing body of any Company Subsidiary) prior to the Effective Time, the Special Committee, on behalf of the Company, shall control the defense of any such litigation or other Proceeding;",1836,,,,,,,,,,,,1
1837,/html/body/document/type/sequence/filename/description/text/p[954]/u[2],provided,1837,,,,,,,,,,,,1
1838,/html/body/document/type/sequence/filename/description/text/p[954],",",1838,,,,,,,,,,,,1
1839,/html/body/document/type/sequence/filename/description/text/p[954]/u[3],however,1839,,,,,,,,,,,,1
1840,/html/body/document/type/sequence/filename/description/text/p[954],", that the Company shall promptly notify Parent, and any Indemnified Party that is named as a party in such Proceeding, of any such litigation or other Proceeding and shall keep Parent, and any such Indemnified Party, reasonably informed on a current basis with respect to the status thereof (including by providing copies of all pleadings with respect thereto). The Company shall consult with Parent on a regular basis with respect to, and shall give Parent, and Indemnified Party that is named as a party in such Proceeding, the opportunity to participate in the defense or settlement of, any security holder litigation or other Proceeding against the Company or its respective directors relating to the Transactions, and no such settlement shall be agreed to without the prior written consent of Parent, which shall not be unreasonably withheld, conditioned or delayed. The Company will not, without the prior written consent of an Indemnified Party settle any claims against such Indemnified Party unless the settlement solely involves the payment of money by persons other than such Indemnified Party and includes an unconditional release of the Indemnified Party from liability on matters that are the subject of such Proceeding. Notwithstanding the foregoing provisions of this",1840,,,,,,,,,,,,1
1841,/html/body/document/type/sequence/filename/description/text/p[954]/u[4],Section,1841,,,,,,,,,,,,1
1842,/html/body/document/type/sequence/filename/description/text/p[954]/u[5],6.14,1842,,,,,,,,,,,,1
1843,/html/body/document/type/sequence/filename/description/text/p[954],", nothing herein shall require the Company to disclose any information if the Company reasonably determines that such disclosure would (A) constitute a violation of any Contract with respect to confidentiality or non-disclosure owing to a third party (including any Governmental Entity) to which the Company or any of the Company Subsidiaries is a party, (B) constitute a violation of any applicable Law or (C) result in a waiver of attorney-client privilege, work product doctrine or similar privilege;",1843,,,,,,,,,,,,1
1844,/html/body/document/type/sequence/filename/description/text/p[954]/u[6],provided,1844,,,,,,,,,,,,1
1845,/html/body/document/type/sequence/filename/description/text/p[954],"that information may be disclosed subject to a joint defense agreement in customary form, and disclosure may be limited to external counsel for Parent, and any such Indemnified Party, to the extent that the Company determines doing so may be reasonably required for the purpose of complying with applicable Antitrust Laws;",1845,,,,,,,,,,,,1
1846,/html/body/document/type/sequence/filename/description/text/p[954]/u[7],provided,1846,,,,,,,,,,,,1
1847,/html/body/document/type/sequence/filename/description/text/p[954],", further, that the Company shall not be permitted to assume the defense of any Indemnified Party to the extent the Indemnified Party shall have reasonably concluded (based on the advice of counsel) that there is reasonably likely to be a material conflict of interest between the Company (or any other person or persons included in a joint defense) and the Indemnified Party in the conduct of the defense of such action. For the avoidance of doubt, any Proceeding related to Dissenting Shares will be governed by",1847,,,,,,,,,,,,1
1848,/html/body/document/type/sequence/filename/description/text/p[954]/u[8],Section 3.4,1848,,,,,,,,,,,,1
1849,/html/body/document/type/sequence/filename/description/text/p[954],. The provisions of this,1849,,,,,,,,,,,,1
1850,/html/body/document/type/sequence/filename/description/text/p[954]/u[9],Section 6.14,1850,,,,,,,,,,,,1
1851,/html/body/document/type/sequence/filename/description/text/p[954],"that concern the conduct of Proceedings against any Indemnified Parties shall survive the consummation of the Merger and are intended to be for the benefit of, and to be enforceable by, the Indemnified Parties and their respective heirs and personal representatives, and will be binding on Parent, the Surviving Corporation and their respective successors and assigns.",1851,,,,,,,,,,,,1
Unnamed 256,/html/body/document/type/sequence/filename/description/text/p[956],Section 6.15,1852,/html/body/document/type/sequence/filename/description/text/p[956],Section 6.15,ssn,296.0,"[0.8093962166364342, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,262.0,0.8093962166364342,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0
Unnamed 257,/html/body/document/type/sequence/filename/description/text/p[956]/u,Stock Exchange De-listing,1853,/html/body/document/type/sequence/filename/description/text/p[956]/u,Stock Exchange De-listing,sst,297.0,"[0.8093962166364342, 0.13442361111111112, 0.1015513888888889, 0.00038870173620108835]",1.0,263.0,0.8093962166364342,0.13442361111111112,0.1015513888888889,0.00038870173620108835,0
1854,/html/body/document/type/sequence/filename/description/text/p[956],. The Surviving Corporation shall cause the Company Common Stock to be de-listed from Nasdaq and de-registered under the Exchange Act at or as promptly as practicable following the Effective Time.,1854,,,,,,,,,,,,1
Unnamed 258,/html/body/document/type/sequence/filename/description/text/p[958],Section 6.16,1855,/html/body/document/type/sequence/filename/description/text/p[958],Section 6.16,ssn,298.0,"[0.8101995335579165, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,264.0,0.8101995335579165,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0
Unnamed 259,/html/body/document/type/sequence/filename/description/text/p[958]/u,Financing,1856,/html/body/document/type/sequence/filename/description/text/p[958]/u,Financing,sst,299.0,"[0.8101995335579165, 0.13442361111111112, 0.039344583333333336, 0.00038870173620108835]",1.0,265.0,0.8101995335579165,0.13442361111111112,0.039344583333333336,0.00038870173620108835,0
1857,/html/body/document/type/sequence/filename/description/text/p[958],.,1857,,,,,,,,,,,,1
Unnamed 260,/html/body/document/type/sequence/filename/description/text/p[960],(a),1858,/html/body/document/type/sequence/filename/description/text/p[960],(a),sssn,300.0,"[0.8110028504793988, 0.11221805555555556, 0.010275625, 0.00038870173620108835]",1.0,266.0,0.8110028504793988,0.11221805555555556,0.010275625,0.00038870173620108835,0
Unnamed 261,/html/body/document/type/sequence/filename/description/text/p[960]/u,No Amendments to Equity Commitment Letter,1859,/html/body/document/type/sequence/filename/description/text/p[960]/u,No Amendments to Equity Commitment Letter,ssst,301.0,"[0.8110028504793988, 0.13204236111111112, 0.17674722222222222, 0.00038870173620108835]",1.0,267.0,0.8110028504793988,0.13204236111111112,0.17674722222222222,0.00038870173620108835,0
1860,/html/body/document/type/sequence/filename/description/text/p[960],". Each of Parent and Merger Sub will not (without the prior written consent of the Company) permit any amendment or modification (including an amendment or modification effected by way of side letter) to be made to, or any waiver of any provision or remedy pursuant to the Equity Commitment Letter.",1860,,,,,,,,,,,,1
Unnamed 262,/html/body/document/type/sequence/filename/description/text/div[67]/div[1]/div/div,62,1861,/html/body/document/type/sequence/filename/description/text/div[67]/div[1]/div/div,62,n,302.0,"[0.8122078258616221, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,268.0,0.8122078258616221,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
Unnamed 263,/html/body/document/type/sequence/filename/description/text/p[963],(b),1862,/html/body/document/type/sequence/filename/description/text/p[963],(b),sssn,303.0,"[0.8138118683596787, 0.11221805555555556, 0.010796458333333333, 0.00038870173620108835]",1.0,269.0,0.8138118683596787,0.11221805555555556,0.010796458333333333,0.00038870173620108835,0
Unnamed 264,/html/body/document/type/sequence/filename/description/text/p[963]/u[1],Equity Financing,1863,/html/body/document/type/sequence/filename/description/text/p[963]/u[1],Equity Financing,ssst,304.0,"[0.8138118683596787, 0.13274166666666667, 0.06646048611111112, 0.00038870173620108835]",1.0,270.0,0.8138118683596787,0.13274166666666667,0.06646048611111112,0.00038870173620108835,0
1864,/html/body/document/type/sequence/filename/description/text/p[963],". Parent shall use reasonable best efforts to take (or cause to be taken) all actions and do (or cause to be done) all things necessary, proper or advisable to obtain the Financing, including (i) maintaining in effect the Equity Commitment Letter, (ii) complying with its obligations under the Equity Commitment Letter, (iii) satisfying (or obtaining a waiver of) on a timely basis all conditions applicable to (and within control of) Parent or Merger Sub in such Equity Commitment Letter, (iv) enforcing its rights under the Equity Commitment Letter, (v) consummating the Financing at or prior to Closing, including by causing the Equity Financing Source to fund the Financing at the Closing. Upon the consummation of the Financing to Parent, in accordance with the Equity Commitment Letter, Parent shall draw down at Closing such amount of such Financing as is required to make the full amount of payments it is required to make pursuant to",1864,,,,,,,,,,,,1
1865,/html/body/document/type/sequence/filename/description/text/p[963]/u[2],Article III,1865,,,,,,,,,,,,1
1866,/html/body/document/type/sequence/filename/description/text/p[963],.,1866,,,,,,,,,,,,1
Unnamed 265,/html/body/document/type/sequence/filename/description/text/p[965],(c),1867,/html/body/document/type/sequence/filename/description/text/p[965],(c),sssn,305.0,"[0.8158201606633843, 0.11221805555555556, 0.012592222222222222, 0.00038870173620108835]",1.0,271.0,0.8158201606633843,0.11221805555555556,0.012592222222222222,0.00038870173620108835,0
Unnamed 266,/html/body/document/type/sequence/filename/description/text/p[965]/u,Financing Cooperation,1868,/html/body/document/type/sequence/filename/description/text/p[965]/u,Financing Cooperation,ssst,306.0,"[0.8158201606633843, 0.13174930555555556, 0.08741875, 0.00038870173620108835]",1.0,272.0,0.8158201606633843,0.13174930555555556,0.08741875,0.00038870173620108835,0
1869,/html/body/document/type/sequence/filename/description/text/p[965],.,1869,,,,,,,,,,,,1
1870,/html/body/document/type/sequence/filename/description/text/p[967],"(i)    Prior to the Closing, the Company shall use its reasonable best efforts to provide to Parent and Merger Sub, and shall cause each of its Subsidiaries to use its reasonable best efforts to provide (in each case at Parent’s sole expense) the following cooperation to the extent reasonably requested by Parent in connection with the arrangement of any debt financing in connection with the transactions contemplated hereby, (provided, however, that nothing in this",1870,,,,,,,,,,,,1
1871,/html/body/document/type/sequence/filename/description/text/p[967]/u[1],Section 6.16(c),1871,,,,,,,,,,,,1
1872,/html/body/document/type/sequence/filename/description/text/p[967],"shall require the Company, its Subsidiaries or any of its or their Representatives to disclose any information that is subject to attorney-client, attorney work product or similar privilege or to contravene Law or violate any Contract;",1872,,,,,,,,,,,,1
1873,/html/body/document/type/sequence/filename/description/text/p[967]/u[2],provided,1873,,,,,,,,,,,,1
1874,/html/body/document/type/sequence/filename/description/text/p[967],", that the Company or such Subsidiary shall use reasonable best efforts to provide an alternative means of disclosing or providing such information, and in the case of any Contract, Company shall, to the extent permitted by such confidentiality obligations, notify Parent if any such information that Parent, Merger Sub or any Financing Source has specifically identified and requested is being withheld as a result of any such obligation of confidentiality), (i) assisting in preparation for and participate (and use commercially reasonable efforts to cause management of an appropriate level to participate) in a reasonable number of meetings (but no more than two (2) in person “bank meetings” and additional telephonic meetings at reasonably agreed times), due diligence sessions, drafting sessions, and presentations with prospective lenders and rating agencies, (ii) assisting Parent with the timely preparation of customary materials for bank information memoranda and ratings agency presentations (and assisting in the obtaining of corporate, credit and facility ratings from ratings agencies), (including executing and delivering a customary authorization letter to the extent reasonably requested by the lenders authorizing the distribution of information about the Company and its Subsidiaries to prospective lenders), (iii) furnishing Parent with the historical financial statements of the Company reasonably requested by the applicable financing sources or arrangers, including (A) within forty-five (45) days after the end of any fiscal quarter that is not a fiscal year end, with the unaudited consolidated balance sheet of the Company as of the end of such quarter and the related unaudited consolidated statements of operations and cash flows, (B) within one hundred and twenty (120) days after the end of any fiscal year, with the audited consolidated balance sheet of the Company as of the end of such fiscal year and the related audited consolidated statements of operations and cash flows, and (C) such information as is necessary in connection with Parent’s preparation of pro forma financial statements of the Company and its Subsidiaries of the type necessary or reasonably requested by the Financing Sources to be included in any bank information memoranda or other customary marketing materials, including by providing such financial and other pertinent information regarding the Company and its Subsidiaries and their respective businesses (it being understood that the Company needs only provide information to assist in the preparation thereof, and shall not be required to provide pro forma financial statements or pro forma adjustments), (iv) providing Parent and Merger Sub with information reasonably necessary to complete customary perfection certificates and other customary loan documents as may be reasonably requested by Parent or the Merger Sub, (v) reasonably facilitating the pledging of collateral as of (but not prior to) the Closing and (vi) provide all documentation and other information about the Company and its Subsidiaries as is reasonably required under applicable “know your customer” and anti-money laundering rules and regulations including the USA PATRIOT Act, at least five (5) Business Days prior to the Closing Date to the extent requested in writing at least ten (10) Business Days prior to the Closing Date.",1874,,,,,,,,,,,,1
Unnamed 267,/html/body/document/type/sequence/filename/description/text/div[68]/div[1]/div/div,63,1875,/html/body/document/type/sequence/filename/description/text/div[68]/div[1]/div/div,63,n,307.0,"[0.8234516714174657, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,273.0,0.8234516714174657,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
1876,/html/body/document/type/sequence/filename/description/text/p[970],(ii)    Notwithstanding anything to the contrary in this,1876,,,,,,,,,,,,1
1877,/html/body/document/type/sequence/filename/description/text/p[970]/u[1],Section 6.16(c),1877,,,,,,,,,,,,1
1878,/html/body/document/type/sequence/filename/description/text/p[970],", no action contemplated in this",1878,,,,,,,,,,,,1
1879,/html/body/document/type/sequence/filename/description/text/p[970]/u[2],Section 6.16(c),1879,,,,,,,,,,,,1
1880,/html/body/document/type/sequence/filename/description/text/p[970],"shall be required if any such action shall: (I) unreasonably disrupt or interfere with the business or ongoing operations of the Company or the Company Subsidiaries; (II) (x) cause any representation or warranty or covenant contained in this Agreement to be breached or (y) cause the Company or any of its Subsidiaries to violate or waive any attorney-client privilege or beach any Contract, applicable Law or Organizational Document; (III) involve the entry into any definitive agreements with respect to any debt financing or any other binding commitment by the Company or any of its Subsidiaries that is not contingent upon the Closing Date occurring or that would be effective prior to the Closing Date (excluding the authorization and representation letters mentioned above); (IV) require the Company or any of its Subsidiaries or any of their Representatives to provide (or to have provided on its behalf) any certificates that would be effective prior to the Closing Date or any legal opinions; (V) require the Company or any of its Subsidiaries to pay any out-of-pocket fees or expenses prior to the Closing that are not promptly reimbursed by Parent as set forth in",1880,,,,,,,,,,,,1
1881,/html/body/document/type/sequence/filename/description/text/p[970]/u[3],Section 6.16(c)(iii),1881,,,,,,,,,,,,1
1882,/html/body/document/type/sequence/filename/description/text/p[970],"if the Closing does not occur; (VI) cause any director, officer or employee of the Company or any of its Subsidiaries to incur any personal liability; (VII) require the Company or any of its Subsidiaries to execute and deliver any pledge or security documents or certificates, documents or instruments relating to the provision of guarantees and collateral in connection with the Financing that is not contingent upon the Closing Date occurring or that would be effective prior to the Closing Date; (VIII) except as necessary to give effect to the items expressly contemplated in this",1882,,,,,,,,,,,,1
1883,/html/body/document/type/sequence/filename/description/text/p[970]/u[4],Section 6.16(c),1883,,,,,,,,,,,,1
1884,/html/body/document/type/sequence/filename/description/text/p[970],"and without limiting clauses (III) and (VII) above, require the Company or any of its Subsidiaries to execute and deliver any documentation (including corporate resolutions) related to the Financing; or (IX) cause any condition to the Closing set forth in",1884,,,,,,,,,,,,1
1885,/html/body/document/type/sequence/filename/description/text/p[970]/u[5],Article VII,1885,,,,,,,,,,,,1
1886,/html/body/document/type/sequence/filename/description/text/p[970],"to fail to be satisfied. The Company hereby consents to the use of the Company’s and the Company Subsidiaries’ logos solely to the extent necessary in connection with the Financing and solely in connection with a description of the Company, the Company Subsidiaries or the transactions contemplated by this Agreement and solely in a manner that is not intended or reasonably likely to harm or disparage the reputation or goodwill of the relevant party, or any of their respective Intellectual Property rights and will comply with the Company’s usage requirements and guidelines to the extent made available to Parent prior to such use. In no event shall the Company or the Company Subsidiaries or any of their respective Affiliates be in breach of this Agreement because of the failure to deliver any financial or other information that is not readily available or is not otherwise prepared in the ordinary course of business of the Company and the Company Subsidiaries at the time requested by Parent. Notwithstanding anything to the contrary herein, any breach by the Company or the Company Subsidiaries of their obligations under this",1886,,,,,,,,,,,,1
1887,/html/body/document/type/sequence/filename/description/text/p[970]/u[6],Section 6.16(c),1887,,,,,,,,,,,,1
1888,/html/body/document/type/sequence/filename/description/text/p[970],", shall not constitute a breach of this Agreement for the purposes of",1888,,,,,,,,,,,,1
1889,/html/body/document/type/sequence/filename/description/text/p[970]/u[7],Article VIII,1889,,,,,,,,,,,,1
1890,/html/body/document/type/sequence/filename/description/text/p[970],or a breach of the condition precedent set forth in,1890,,,,,,,,,,,,1
1891,/html/body/document/type/sequence/filename/description/text/p[970]/u[8],Section 7.3,1891,,,,,,,,,,,,1
1892,/html/body/document/type/sequence/filename/description/text/p[970],", unless the Company has knowingly and willfully breached its obligations under this",1892,,,,,,,,,,,,1
1893,/html/body/document/type/sequence/filename/description/text/p[970]/u[9],Section 6.16(c),1893,,,,,,,,,,,,1
1894,/html/body/document/type/sequence/filename/description/text/p[970],and such breach has been the primary and direct cause of Parent’s debt financing not being obtained.,1894,,,,,,,,,,,,1
1895,/html/body/document/type/sequence/filename/description/text/p[972],(iii)    Parent shall (A) promptly reimburse the Company and the Company Subsidiaries for all reasonable and documented out-of-pocket costs and expenses (including reasonable and documented attorneys’ fees) incurred by the Company or any of its Subsidiaries in connection with the cooperation provided for in this,1895,,,,,,,,,,,,1
1896,/html/body/document/type/sequence/filename/description/text/p[972]/u[1],Section,1896,,,,,,,,,,,,1
1897,/html/body/document/type/sequence/filename/description/text/p[972]/u[2],6.16,1897,,,,,,,,,,,,1
1898,/html/body/document/type/sequence/filename/description/text/p[972],", and (B) promptly indemnify and hold harmless the Company and the Company Subsidiaries and their respective Representatives from and against any and all liabilities, claims, losses, damages, costs, expenses, interest, awards, judgments and penalties (including reasonable and documented attorneys’ fees) actually suffered or incurred by them in connection with the arrangement or consummation of the Financing, except to the extent any such liabilities, claims, losses, damages, costs, expenses, interest, awards, judgments or penalties arise out of or result from bad faith, gross negligence, fraud or willful misconduct by any of the Company, its Subsidiaries or their respective Representatives, as determined by a final, non-appealable judgment of a court of competent jurisdiction.",1898,,,,,,,,,,,,1
Unnamed 268,/html/body/document/type/sequence/filename/description/text/div[69]/div[1]/div/div,64,1899,/html/body/document/type/sequence/filename/description/text/div[69]/div[1]/div/div,64,n,308.0,"[0.8338896087069189, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,274.0,0.8338896087069189,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
1900,/html/body/document/type/sequence/filename/description/text/p[975],"(iv)    Parent and Merger Sub acknowledge and agree that, notwithstanding anything in this Agreement to the contrary, the obligations to perform their respective agreements hereunder, including to consummate the Closing subject to the terms and conditions hereof, are not conditioned on obtaining the Financing.",1900,,,,,,,,,,,,1
1901,/html/body/document/type/sequence/filename/description/text/p[977],"(v)    All confidential, proprietary or non-public information regarding the Company obtained by Parent or its Representatives pursuant to this",1901,,,,,,,,,,,,1
1902,/html/body/document/type/sequence/filename/description/text/p[977]/u[1],Section,1902,,,,,,,,,,,,1
1903,/html/body/document/type/sequence/filename/description/text/p[977]/u[2],6.16,1903,,,,,,,,,,,,1
1904,/html/body/document/type/sequence/filename/description/text/p[977],shall be kept confidential in accordance with the terms of the Confidentiality Agreement.,1904,,,,,,,,,,,,1
Unnamed 269,/html/body/document/type/sequence/filename/description/text/p[979],Section 6.17,1905,/html/body/document/type/sequence/filename/description/text/p[979],Section 6.17,ssn,309.0,"[0.837901010624514, 0.07888472222222222, 0.046544027777777774, 0.00038870173620108835]",1.0,275.0,0.837901010624514,0.07888472222222222,0.046544027777777774,0.00038870173620108835,0
Unnamed 270,/html/body/document/type/sequence/filename/description/text/p[979]/u[1],Repatriation,1906,/html/body/document/type/sequence/filename/description/text/p[979]/u[1],Repatriation,sst,310.0,"[0.837901010624514, 0.13573680555555556, 0.04807402777777778, 0.00038870173620108835]",1.0,276.0,0.837901010624514,0.13573680555555556,0.04807402777777778,0.00038870173620108835,0
1907,/html/body/document/type/sequence/filename/description/text/p[979],". The Company and the Company Subsidiaries will use their commercially reasonable efforts (in the manner reasonably requested in writing by Parent at least ten (10) Business Days prior to the Closing) to distribute or transfer or cause to be distributed or transferred (including through loans, prepayments of obligations or the repayment of intercompany obligations) to the Company immediately before the Closing any cash balances held by any non-U.S. Subsidiaries to the Company; provided, however, that no distribution or transfer will be required to be made (i) to the extent such distribution or transfer (x) would be subject to withholding or other Taxes prior to the Closing or (y) would violate applicable Law or any minimum cash balance or capital surplus requirements applicable to such Company Subsidiaries, (ii) unless and until all of the conditions to the Merger set forth in",1907,,,,,,,,,,,,1
1908,/html/body/document/type/sequence/filename/description/text/p[979]/u[2],Section 7.1,1908,,,,,,,,,,,,1
1909,/html/body/document/type/sequence/filename/description/text/p[979],and,1909,,,,,,,,,,,,1
1910,/html/body/document/type/sequence/filename/description/text/p[979]/u[3],Section 7.2,1910,,,,,,,,,,,,1
1911,/html/body/document/type/sequence/filename/description/text/p[979],"have been satisfied or waived (other than those conditions that by their nature are to be satisfied or waived (if permitted hereunder) at the Closing, but subject to the satisfaction or waiver (to the extent permitted hereunder) of such conditions at the Closing) and (iii) to the extent the distribution or transfer, plus other distributions or transfers made pursuant to this",1911,,,,,,,,,,,,1
1912,/html/body/document/type/sequence/filename/description/text/p[979]/u[4],Section 6.17,1912,,,,,,,,,,,,1
1913,/html/body/document/type/sequence/filename/description/text/p[979],", would cause the Company or the Company Subsidiaries, taken as a whole, to incur any Taxes in excess of $5,000,000. If any cash balances distributed or transferred pursuant to this",1913,,,,,,,,,,,,1
1914,/html/body/document/type/sequence/filename/description/text/p[979]/u[5],Section 6.17,1914,,,,,,,,,,,,1
1915,/html/body/document/type/sequence/filename/description/text/p[979],"are paid to direct or indirect equity holders of the Company, such payments shall be treated as Merger Consideration subject to Section 1001 of the Code (or any corresponding or similar provision of state, local, or foreign Laws). Notwithstanding anything in this Agreement to the contrary, and if the Closing does not occur for any reason, Parent shall promptly reimburse the Company and the Company Subsidiaries for any costs, expenses, or Taxes  incurred by the Company or the Company Subsidiaries in connection with the assistance or distributions contemplated by this",1915,,,,,,,,,,,,1
1916,/html/body/document/type/sequence/filename/description/text/p[979]/u[6],Section 6.17,1916,,,,,,,,,,,,1
1917,/html/body/document/type/sequence/filename/description/text/p[979],.,1917,,,,,,,,,,,,1
Unnamed 271,/html/body/document/type/sequence/filename/description/text/p[981]/b,ARTICLE VII,1918,/html/body/document/type/sequence/filename/description/text/p[981]/b,ARTICLE VII,sn,311.0,"[0.8419175952319253, 0.47105, 0.057893888888888884, 0.00038870173620108835]",1.0,277.0,0.8419175952319253,0.47105,0.057893888888888884,0.00038870173620108835,0
Unnamed 272,/html/body/document/type/sequence/filename/description/text/p[982]/b,CONDITIONS TO CONSUMMATION OF THE MERGER,1919,/html/body/document/type/sequence/filename/description/text/p[982]/b,CONDITIONS TO CONSUMMATION OF THE MERGER,st,312.0,"[0.8423192536926665, 0.3813152777777778, 0.23736944444444447, 0.00038870173620108835]",1.0,278.0,0.8423192536926665,0.3813152777777778,0.23736944444444447,0.00038870173620108835,0
Unnamed 273,/html/body/document/type/sequence/filename/description/text/p[984],Section 7.1,1920,/html/body/document/type/sequence/filename/description/text/p[984],Section 7.1,ssn,313.0,"[0.8431225706141487, 0.07888472222222222, 0.04186743055555556, 0.00038870173620108835]",1.0,279.0,0.8431225706141487,0.07888472222222222,0.04186743055555556,0.00038870173620108835,0
Unnamed 274,/html/body/document/type/sequence/filename/description/text/p[984]/u[1],Mutual Closing Conditions,1921,/html/body/document/type/sequence/filename/description/text/p[984]/u[1],Mutual Closing Conditions,sst,314.0,"[0.8431225706141487, 0.1308701388888889, 0.10355902777777778, 0.00038870173620108835]",1.0,280.0,0.8431225706141487,0.1308701388888889,0.10355902777777778,0.00038870173620108835,0
1922,/html/body/document/type/sequence/filename/description/text/p[984],". The obligations of each of the Parties to consummate the Merger are conditioned upon the satisfaction at or prior to the Closing (or, except for the condition referenced in",1922,,,,,,,,,,,,1
1923,/html/body/document/type/sequence/filename/description/text/p[984]/u[2],Section 7.1(a),1923,,,,,,,,,,,,1
1924,/html/body/document/type/sequence/filename/description/text/p[984],", which shall not be waivable, waiver by both the Company and Parent, to the extent permitted by applicable Law) of each of the following:",1924,,,,,,,,,,,,1
Unnamed 275,/html/body/document/type/sequence/filename/description/text/div[70]/div[1]/div/div,65,1925,/html/body/document/type/sequence/filename/description/text/div[70]/div[1]/div/div,65,n,315.0,"[0.844327545996372, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,281.0,0.844327545996372,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
Unnamed 276,/html/body/document/type/sequence/filename/description/text/p[987],(a),1926,/html/body/document/type/sequence/filename/description/text/p[987],(a),sssn,316.0,"[0.8459315884944286, 0.11221805555555556, 0.010275625, 0.00038870173620108835]",1.0,282.0,0.8459315884944286,0.11221805555555556,0.010275625,0.00038870173620108835,0
Unnamed 277,/html/body/document/type/sequence/filename/description/text/p[987]/u,Stockholder Approval,1927,/html/body/document/type/sequence/filename/description/text/p[987]/u,Stockholder Approval,ssst,317.0,"[0.8459315884944286, 0.1294326388888889, 0.08613819444444444, 0.00038870173620108835]",2.0,284.0,0.8459315884944286,0.1294326388888889,0.08613819444444444,0.00038870173620108835,0
1928,/html/body/document/type/sequence/filename/description/text/p[987],. The Company Stockholder Approval shall have been obtained in accordance with applicable Law and the Organizational Documents of the Company.,1928,,,,,,,,,,,,1
Unnamed 278,/html/body/document/type/sequence/filename/description/text/p[989],(b),1929,/html/body/document/type/sequence/filename/description/text/p[989],(b),sssn,318.0,"[0.8467349054159109, 0.11221805555555556, 0.010796458333333333, 0.00038870173620108835]",1.0,285.0,0.8467349054159109,0.11221805555555556,0.010796458333333333,0.00038870173620108835,0
Unnamed 279,/html/body/document/type/sequence/filename/description/text/p[989]/u,No Injunctions or Restraints,1930,/html/body/document/type/sequence/filename/description/text/p[989]/u,No Injunctions or Restraints,ssst,319.0,"[0.8467349054159109, 0.13468958333333333, 0.10877847222222221, 0.00038870173620108835]",1.0,286.0,0.8467349054159109,0.13468958333333333,0.10877847222222221,0.00038870173620108835,0
1931,/html/body/document/type/sequence/filename/description/text/p[989],". No Governmental Entity having jurisdiction over any Party shall have issued any order (whether preliminary, temporary or permanent) that remains in effect or taken any other action, in each case restraining, enjoining or otherwise prohibiting or making illegal the consummation of the Transactions and no Law shall be in effect that makes consummation of the Transactions illegal or otherwise prohibited.",1931,,,,,,,,,,,,1
Unnamed 280,/html/body/document/type/sequence/filename/description/text/p[991],(c),1932,/html/body/document/type/sequence/filename/description/text/p[991],(c),sssn,320.0,"[0.8479398807981342, 0.11221805555555556, 0.012917777777777778, 0.00038870173620108835]",1.0,287.0,0.8479398807981342,0.11221805555555556,0.012917777777777778,0.00038870173620108835,0
Unnamed 281,/html/body/document/type/sequence/filename/description/text/p[991]/u,Regulatory Approval,1933,/html/body/document/type/sequence/filename/description/text/p[991]/u,Regulatory Approval,ssst,321.0,"[0.8479398807981342, 0.13305694444444444, 0.08054444444444445, 0.00038870173620108835]",1.0,288.0,0.8479398807981342,0.13305694444444444,0.08054444444444445,0.00038870173620108835,0
